model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
5,2013,5498,1,53545.0,4,30,54.3,1.2
5,2017,9298,1,25491.0,4,0,65.7,1.0
5,2014,7298,1,31359.0,4,0,65.7,1.0
6,2016,8498,1,51656.0,0,0,74.3,1.5
13,2016,17698,2,11221.0,0,145,54.3,2.0
13,2017,14498,1,23356.0,0,145,60.1,2.0
2,2018,12898,1,15267.0,4,145,53.3,1.0
0,2017,7998,1,41294.0,0,0,74.4,1.5
1,2018,12198,1,7993.0,4,145,49.6,1.0
2,2017,9698,1,30207.0,4,145,53.3,1.0
5,2016,8798,1,19815.0,4,0,65.7,1.0
13,2015,14298,1,43717.0,0,145,54.3,2.0
6,2018,15798,1,4534.0,4,145,58.9,1.0
5,2017,10298,1,9148.0,4,145,65.7,1.0
11,2014,4898,1,22609.0,4,30,57.7,1.2
6,2016,10298,1,15510.0,0,0,74.3,1.5
5,2017,9998,1,20347.0,4,0,65.7,1.0
13,2018,16698,1,3044.0,4,145,39.2,1.5
5,2017,8998,1,5233.0,4,125,54.3,1.2
9,2015,8998,1,28359.0,0,125,60.1,1.6
6,2017,12498,2,12244.0,4,125,51.4,1.0
5,2018,12498,1,17918.0,4,145,65.7,1.0
18,2020,34498,2,4623.0,0,145,43.5,2.0
2,2017,9298,1,16770.0,4,145,44.8,1.5
6,2017,10900,1,25459.0,4,145,60.1,1.0
2,2017,9998,1,23913.0,4,125,53.3,1.0
5,2018,12998,1,9901.0,4,150,65.7,1.0
6,2016,10998,2,15006.0,4,125,51.4,1.0
6,2017,15500,1,19593.0,4,145,41.5,2.0
13,2017,16200,2,23027.0,0,145,58.9,1.5
1,2016,10500,2,13580.0,0,20,64.2,1.5
6,2015,13200,1,32000.0,0,20,67.3,2.0
6,2019,18698,1,15365.0,4,145,60.1,1.0
6,2019,16998,1,7924.0,0,145,80.7,1.5
5,2017,9998,1,10721.0,4,145,65.7,1.0
2,2017,9498,1,25939.0,4,145,53.3,1.0
5,2019,17498,1,3265.0,4,145,58.9,1.0
6,2019,15998,0,11045.0,4,145,41.5,1.0
2,2020,17998,1,250.0,4,145,51.4,1.0
0,2013,5698,1,44901.0,4,145,47.1,1.4
6,2017,9998,1,22001.0,4,20,60.1,1.0
5,2020,17298,1,4563.0,4,145,54.3,1.0
5,2019,16998,1,12236.0,4,145,55.4,1.0
13,2019,23998,1,7584.0,0,145,39.2,2.0
5,2013,6498,1,41599.0,4,0,65.7,1.0
9,2017,12498,1,10373.0,4,145,54.3,1.0
5,2013,4998,1,79300.0,4,0,65.7,1.0
1,2017,11498,1,12982.0,4,30,55.4,1.0
6,2017,11298,1,24386.0,0,0,74.3,1.5
2,2017,9298,1,18209.0,0,30,64.2,1.5
2,2018,12998,1,9796.0,4,145,54.3,1.0
5,2018,14498,1,9428.0,4,145,62.8,1.0
8,2016,18498,1,30528.0,0,125,56.5,2.0
